CULTURA;Toneladas em 2012;Toneladas em 2013;Toneladas em 2014;Dolares em 2012;Dolares em 2013;Dolares em 2014
Total;823226;902409;914220;9690748;11454284;12248546
Algodão ;55124;70362;60039;900811;1040506;923779
Alho;80;97;93;1839;1950;1936
Amendoim;2523;3406;3175;41024;45167;42563
Arroz Irrigado ;12336;13016;13097;163274;189890;215775
Arroz Sequeiro;1698;1543;1566;20619;34306;31615
Banana;2473;3196;2986;9864;16654;13917
Batata Inglesa;8057;9714;9631;140587;163933;158504
Café;31419;21138;20682;339788;292926;309809
Cana-de-açúcar ;74144;77474;68151;1244039;1158865;1031050
Cebola;909;1006;1107;15330;17892;4613
Citros;21065;16093;20346;221274;190786;182733
Feijão ;16137;16612;16312;269340;290196;271322
Floricultura ;177;105;113;2782;1240;2081
Fruticultura (outras);3498;2822;1773;43364;32719;26812
Fumo;1622;2109;1647;39427;49009;41159
Horticultura (outras);5171;6621;10697;74991;99670;121704
Maçã;4579;4988;5287;42373;54663;48354
Melão / Melancia;366;445;562;6422;11386;10956
Milho Safra ;55234;49578;41651;479010;504538;431369
Milho Safrinha ;52440;62390;63184;435625;594559;645881
Pastagem ;16282;26325;26419;189011;258433;298180
Reflorestamento;10423;578;328;33452;7752;7959
Soja;412620;475819;504016;4566265;5866403;6804513
Tomate Envarado;4192;3419;7630;65593;67243;122440
Tomate Rasteiro;3226;5750;3426;69638;101486;68217
Trigo/ Aveia/Centeio/ Cevada;13590;17871;23560;200630;243851;338359
Uva;2231;2478;2570;31721;38967;34804
Áreas não cultivada;0;0;303;0;0;6736
Grãos Armazenados;751;3003;1012;12010;35495;14378
Outras;10859;4450;2859;30645;43800;37028
