Grupo Químico;Sintomas de intoxicação aguda;Sintomas de intoxicação crônica
Organofosforados e carbamatos;Fraqueza, cólicas abdominais, vômitos, espasmos musculares e convulsões;Efeitos neurotóxicos retardados, alterações cromossomiais e dermatites de contato
Organoclorados ;Náuseas, vômitos, contrações musculares involuntárias;Lesões hepáticas, arritmias cardíacas, lesões renais e neuropatias periféricas
Piretroides Sintéticos;Irritações das conjuntivas, espirros, excitação, convulsões;Alergias, asma brônquica, irritações nas mucosas, hiper-sensibilidade
Ditiocarbamatos ;Tonteiras, vômitos, tremores musculares, dor de cabeça;Alergias respiratórias, dermatites, doença de Parkinson, cânceres
Fentalamidas;;Teratogêneses
Dinitroferóis e pentaciclorofenol;Dificuldade respiratória, hipertermia, convulsões;Cânceres (PCP-formação de dioxinas), cloroacnes
Fenoxiacéticos ;Perda de apetite, enjoo, vômitos, fasciculação muscular;Indução da produção de enzimas hepáticas, cânceres, teratogeneses
Dipiridilos ;Sangramento nasal, fraqueza, desmaios, conjuntivites;Lesões hepáticas, dermatites de contato, fibrose pulmonar
;;
Fonte:OPAS/OMS – ORGANIZAÇÃO PANAMERICANA DA SAÚDE/ ORGANIZAÇÃO MUNDIAL DA SAÚDE. Representação do Brasil. Manual de vigilância da saúde de populações expostas a agrotóxicos. Brasília, 1996;;
